id,parent_id,name,rank,common_name,obs_count
47170,,Fungi,kingdom,Fungi Including Lichens,0
47169,47170,Basidiomycota,phylum,Basidiomycete Fungi,0
50814,47169,Agaricomycetes,class,"Mushrooms, Bracket Fungi, Puffballs, and Allies",0
47380,50814,Polyporales,order,Shelf Fungi,0
55974,47380,Fomitopsidaceae,family,Bracket Polypores,0
118056,55974,Fomitopsis,genus,,0
1098280,118056,Fomitopsis pinicola,species,Red-banded Polypore,544
47167,50814,Agaricales,order,Common Gilled Mushrooms and Allies,0
118249,47167,Amanitaceae,family,amanita mushrooms and allies,0
48419,118249,Amanita,genus,amanita mushrooms,0
48715,48419,Amanita muscaria,species,Fly Agaric,505
53277,47169,Dacrymycetes,class,,0
53278,53277,Dacrymycetales,order,,0
53279,53278,Dacrymycetaceae,family,,0
63408,53279,Calocera,genus,,0
63405,63408,Calocera viscosa,species,Jelly-antler,427
516951,47167,Coprinaceae,family,,0
47393,516951,Coprinus,genus,inky caps,0
47392,47393,Coprinus comatus,species,Shaggy Mane,291
48250,47170,Ascomycota,phylum,Ascomycete Fungi,0
54743,48250,Lecanoromycetes,class,Common Lichens,0
54755,54743,Teloschistales,order,Sunburst Lichens and Allies,0
54756,54755,Teloschistaceae,family,"sunburst lichens, firedots, and allies",0
54757,54756,Xanthoria,genus,Sunburst Lichens,0
55576,54757,Xanthoria parietina,species,Common Sunburst Lichen,244
47379,47380,Polyporaceae,family,Bracket Fungi,0
47378,47379,Trametes,genus,Turkey-tails and allies,0
54134,47378,Trametes versicolor,species,turkey-tail,222
47394,47167,Agaricaceae,family,Field Mushrooms and Allies,0
63402,47394,Macrolepiota,genus,,0
63401,63402,Macrolepiota procera,species,Parasol,217
48768,47167,Strophariaceae,family,,0
48769,48768,Hypholoma,genus,,0
48767,48769,Hypholoma fasciculare,species,Sulphur Tuft,205
895657,47380,Laetiporaceae,family,,0
48431,895657,Laetiporus,genus,,0
53713,48431,Laetiporus sulphureus,species,chicken of the woods,176
67661,48419,Amanita rubescens,species,blusher,173
48445,47167,Lycoperdaceae,family,puffballs,0
48444,48445,Lycoperdon,genus,,0
48443,48444,Lycoperdon perlatum,species,common puffball,166
351075,47167,Hydnangiaceae,family,,0
54895,351075,Laccaria,genus,Deceivers,0
55899,54895,Laccaria amethystina,species,Amethyst Deceiver,165
48327,54743,Lecanorales,order,"shield lichens, rim lichens, and allies",0
54321,48327,Parmeliaceae,family,shield lichens and allies,0
123176,54321,Evernia,genus,oakmoss lichens,0
123175,123176,Evernia prunastri,species,Oakmoss,151
48427,50814,Boletales,order,boletes and allies,0
48702,48427,Boletaceae,family,boletes,0
48703,48702,Boletus,genus,Porcini and Allies,0
48701,48703,Boletus edulis,species,King Bolete,149
127511,47379,Fomes,genus,,0
